datetime,open,high,low,close,volume
2025-07-25T00:00:00+08:00,41.08,41.24,40.61,40.73,6344610
2025-07-28T00:00:00+08:00,40.73,41.15,40.35,40.81,2649839
2025-07-29T00:00:00+08:00,40.7,41.22,40.66,41.0,3186016
2025-07-30T00:00:00+08:00,41.03,41.84,40.65,41.61,6644611
2025-07-31T00:00:00+08:00,41.22,41.22,40.04,40.1,12703398
2025-08-01T00:00:00+08:00,39.7,40.13,39.4,39.4,9340496
2025-08-04T00:00:00+08:00,39.01,39.81,39.0,39.54,4380164
2025-08-05T00:00:00+08:00,39.85,40.49,39.8,40.49,3405044
2025-08-06T00:00:00+08:00,40.55,40.75,40.31,40.44,6603007
2025-08-07T00:00:00+08:00,40.54,41.13,40.53,40.92,8375882
2025-08-08T00:00:00+08:00,40.77,41.08,40.63,40.8,2801972
2025-08-11T00:00:00+08:00,40.9,41.0,40.52,40.86,7883082
2025-08-12T00:00:00+08:00,40.99,41.97,40.65,41.78,10985438
2025-08-13T00:00:00+08:00,41.9,42.27,41.66,41.96,8892042
2025-08-14T00:00:00+08:00,42.24,43.41,42.16,42.67,14418495
2025-08-15T00:00:00+08:00,42.42,42.85,42.0,42.69,5479238
2025-08-18T00:00:00+08:00,42.52,43.5,42.3,43.1,9264483
2025-08-19T00:00:00+08:00,43.28,43.5,42.98,43.05,7866667
2025-08-20T00:00:00+08:00,42.7,43.3,42.11,43.14,7377536
2025-08-21T00:00:00+08:00,44.13,44.74,43.87,44.7,11722577
2025-08-22T00:00:00+08:00,44.64,45.55,44.64,45.49,9708695
2025-08-25T00:00:00+08:00,46.74,47.8,46.48,46.99,14202340
2025-08-26T00:00:00+08:00,47.48,48.14,47.15,47.84,12201944
2025-08-27T00:00:00+08:00,47.72,47.73,47.04,47.24,5210935
2025-08-28T00:00:00+08:00,45.48,46.3,45.2,45.3,10651866
2025-08-29T00:00:00+08:00,46.38,47.8,46.13,47.27,7700721
2025-09-01T00:00:00+08:00,47.7,48.0,46.73,46.89,8585555
2025-09-02T00:00:00+08:00,47.14,48.1,46.75,46.82,8729675
2025-09-03T00:00:00+08:00,47.4,47.84,46.45,46.68,6162766
2025-09-04T00:00:00+08:00,46.57,46.77,44.51,44.93,15859245
2025-09-05T00:00:00+08:00,45.27,45.81,45.01,45.66,5471891
2025-09-08T00:00:00+08:00,46.34,47.0,46.14,46.4,5663281
2025-09-09T00:00:00+08:00,46.55,46.79,45.92,45.96,4136173
2025-09-10T00:00:00+08:00,46.2,46.7,46.09,46.64,3368709
2025-09-11T00:00:00+08:00,46.2,48.01,46.13,47.97,9534806
2025-09-12T00:00:00+08:00,48.92,48.95,48.18,48.34,7449417
2025-09-15T00:00:00+08:00,48.2,49.17,48.06,48.76,10116983
2025-09-16T00:00:00+08:00,48.88,48.88,47.91,47.99,5910382
2025-09-17T00:00:00+08:00,48.0,48.66,47.56,48.39,8166580
2025-09-18T00:00:00+08:00,48.6,49.08,48.03,48.03,3904732
2025-09-19T00:00:00+08:00,47.36,47.86,46.89,47.28,10376779
2025-09-22T00:00:00+08:00,47.21,47.94,46.91,47.81,3348911
2025-09-23T00:00:00+08:00,47.97,48.64,46.84,47.2,8037693
2025-09-24T00:00:00+08:00,47.5,47.9,47.15,47.68,4117855
2025-09-25T00:00:00+08:00,48.0,49.12,47.97,48.72,7689688
2025-09-26T00:00:00+08:00,48.76,48.76,47.94,48.26,3226785
2025-09-30T00:00:00+08:00,48.65,48.98,48.33,48.5,7393345
2025-10-01T00:00:00+08:00,48.7,48.73,48.43,48.44,979408
2025-10-02T00:00:00+08:00,48.62,49.52,48.53,49.24,4179101
2025-10-03T00:00:00+08:00,49.25,49.25,48.55,48.59,2240437
2025-10-07T00:00:00+08:00,48.59,48.93,48.46,48.46,2192700
2025-10-08T00:00:00+08:00,48.45,48.48,47.41,48.0,3491245
2025-10-09T00:00:00+08:00,48.3,49.6,48.23,49.29,8767788
2025-10-13T00:00:00+08:00,46.49,46.58,45.33,46.05,11969323
2025-10-14T00:00:00+08:00,46.65,47.34,46.09,46.63,7758833
2025-10-15T00:00:00+08:00,46.38,46.62,46.01,46.6,5078219
2025-10-16T00:00:00+08:00,47.28,48.6,47.1,47.86,8463192
2025-10-17T00:00:00+08:00,48.22,48.49,47.25,47.6,8791081
2025-10-20T00:00:00+08:00,47.72,47.97,47.26,47.42,8065263
2025-10-21T00:00:00+08:00,47.8,49.27,47.6,49.11,11956273
2025-10-22T00:00:00+08:00,48.7,49.17,48.5,49.13,6366311
2025-10-23T00:00:00+08:00,48.9,49.36,48.27,48.59,2823932
2025-10-27T00:00:00+08:00,51.0,51.9,50.45,51.75,9922552
2025-10-28T00:00:00+08:00,52.0,52.4,51.35,51.7,4866523
2025-10-29T00:00:00+08:00,51.7,52.0,51.25,51.35,2854653
2025-10-30T00:00:00+08:00,51.9,52.1,50.85,51.35,5026523
2025-10-31T00:00:00+08:00,51.2,51.2,49.42,49.54,6650276
2025-11-03T00:00:00+08:00,49.51,49.58,48.7,49.5,4566819
2025-11-04T00:00:00+08:00,49.51,50.15,49.4,49.52,2824666
2025-11-05T00:00:00+08:00,48.9,49.5,48.26,49.38,4820955
2025-11-06T00:00:00+08:00,49.7,50.9,49.61,50.6,6841717
2025-11-07T00:00:00+08:00,50.4,50.6,50.05,50.5,2772792
2025-11-10T00:00:00+08:00,50.3,50.55,49.46,50.0,7022916
2025-11-11T00:00:00+08:00,50.6,50.8,49.48,49.55,6431680
2025-11-12T00:00:00+08:00,49.93,50.7,49.9,50.1,6532182
2025-11-13T00:00:00+08:00,50.35,51.15,50.1,51.05,3755525
2025-11-14T00:00:00+08:00,50.75,51.2,50.5,50.65,3527822
